university_text,study_text,subject_text,semester_text,isbn
CBS,"BSc BLC Business, Language and Culture","BSc BLC Area Studies 2 - German: Markets, institut",2. semester,9780008142001
CBS,"BSc BLC Business, Language and Culture","BSc BLC Area Studies 2 - German: Markets, institut",2. semester,9783126750370
CBS,"BSc BLC Business, Language and Culture","BSc BLC Area Studies 2 - German: Markets, institut",2. semester,9783126750677
CBS,"BSc BLC Business, Language and Culture","BSc BLC Area Studies 2 - German: Markets, institut",2. semester,9788702005943
CBS,"BSc BLC Business, Language and Culture",BSc BLC Macroeconomics,2. semester,9781292360898
CBS,"BSc BLC Business, Language and Culture",BSc BLC Quantitative business research (2. sem.),2. semester,9781292444765
CBS,"BSc BLC Business, Language and Culture",BSc BLC Corporate finance,4. semester,9781265102593
CBS,"BSc BLC Business, Language and Culture",BSc BLC German Studies 4,4. semester,9783194274938
CBS,"BSc BLC Business, Language and Culture",BSc BLC German Studies 4,4. semester,9783825254353
CBS,"BSc BLC Business, Language and Culture",BSc BLC The Corporation in Society,4. semester,9781009114929
CBS,"BSc BLC Business, Language and Culture",BSc BLC Politics of Sustainability,4. semester.,9780198826088
CBS,"BSc BLC Business, Language and Culture",BSc BLC Interdisciplinary research methods,6. semester,9781292402727
CBS,"BSc BLC Business, Language and Culture",BSc BLC Marketing the essentials & the trend,6. semester,9781292276540
CBS,BSc Business Administration & Service Management,BSc SM Managerial economics,2. semester,9781473778955
CBS,BSc Business Administration & Service Management,BSc SM Corporate finance,4. semester,9781265102593
CBS,BSc DM Business administration & digital managemen,"BSc DM Business data analytics, Quant.methods",2. semester.,9781449369415
CBS,BSc DM Business administration & digital managemen,BSc DM Economics in the digital age,2. semester.,9781473797536
CBS,BSc IBA - International Business in Asia,BSc IBA Japanese Propaedeutics 2,2. semester,9784789017329
CBS,BSc IBA - International Business in Asia,BSc IBA Japanese Propaedeutics 2,2. semester,9784789017336
CBS,BSc IBA Asian Lang. & Cul. - Interna. Buss. i Asia,BSc IBA Advanced Topics in Int. Bus. in Asian Mar.,6. semester,9781473779891
CBS,BSc IBA Asian Lang. & Cul. - Interna. Buss. i Asia,BSc IBA Marketing,8. semester,9781292089584
CBS,BSc International Business,BSc IB Principles of International Marketing,2. semester,9781292016924
CBS,BSc International Business,BSc IB Corporate Finance,4. semester,9781265102593
